location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,20.7415356098353,2024-11-30,2024-11-30,quantile,wk inc flu hosp
02,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
04,0,0.01,269.6329540572183,2024-11-30,2024-11-30,quantile,wk inc flu hosp
05,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
06,0,0.01,312.55311015476616,2024-11-30,2024-11-30,quantile,wk inc flu hosp
08,0,0.01,5.016378432095639,2024-11-30,2024-11-30,quantile,wk inc flu hosp
09,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
10,0,0.01,1.0073019173769504,2024-11-30,2024-11-30,quantile,wk inc flu hosp
11,0,0.01,0.2529011797805864,2024-11-30,2024-11-30,quantile,wk inc flu hosp
12,0,0.01,220.77219746324815,2024-11-30,2024-11-30,quantile,wk inc flu hosp
13,0,0.01,5.8077407547854785,2024-11-30,2024-11-30,quantile,wk inc flu hosp
15,0,0.01,0.5358136938013127,2024-11-30,2024-11-30,quantile,wk inc flu hosp
16,0,0.01,9.059536263293003,2024-11-30,2024-11-30,quantile,wk inc flu hosp
17,0,0.01,46.86950571599213,2024-11-30,2024-11-30,quantile,wk inc flu hosp
18,0,0.01,8.01677495063834,2024-11-30,2024-11-30,quantile,wk inc flu hosp
19,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
20,0,0.01,1.6804720300319123,2024-11-30,2024-11-30,quantile,wk inc flu hosp
21,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
22,0,0.01,32.29590592910272,2024-11-30,2024-11-30,quantile,wk inc flu hosp
23,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
24,0,0.01,2.729168426471697,2024-11-30,2024-11-30,quantile,wk inc flu hosp
25,0,0.01,29.492876980840887,2024-11-30,2024-11-30,quantile,wk inc flu hosp
26,0,0.01,15.328237805511561,2024-11-30,2024-11-30,quantile,wk inc flu hosp
27,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
28,0,0.01,0.5999953863332509,2024-11-30,2024-11-30,quantile,wk inc flu hosp
29,0,0.01,14.091872516490117,2024-11-30,2024-11-30,quantile,wk inc flu hosp
30,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
31,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
32,0,0.01,15.194356149371245,2024-11-30,2024-11-30,quantile,wk inc flu hosp
33,0,0.01,1.7004937147090116,2024-11-30,2024-11-30,quantile,wk inc flu hosp
34,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
35,0,0.01,4.150095475048774,2024-11-30,2024-11-30,quantile,wk inc flu hosp
36,0,0.01,53.20151121359675,2024-11-30,2024-11-30,quantile,wk inc flu hosp
37,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
38,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
39,0,0.01,291.0183977315389,2024-11-30,2024-11-30,quantile,wk inc flu hosp
40,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
41,0,0.01,13.953794396848076,2024-11-30,2024-11-30,quantile,wk inc flu hosp
42,0,0.01,61.55769697991667,2024-11-30,2024-11-30,quantile,wk inc flu hosp
44,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
45,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
46,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
47,0,0.01,5.722940964069747,2024-11-30,2024-11-30,quantile,wk inc flu hosp
48,0,0.01,151.75224653072289,2024-11-30,2024-11-30,quantile,wk inc flu hosp
49,0,0.01,3.6588980615737645,2024-11-30,2024-11-30,quantile,wk inc flu hosp
50,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
51,0,0.01,0.3119112836981987,2024-11-30,2024-11-30,quantile,wk inc flu hosp
53,0,0.01,4.27013316556141,2024-11-30,2024-11-30,quantile,wk inc flu hosp
54,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
55,0,0.01,6.284929916097971,2024-11-30,2024-11-30,quantile,wk inc flu hosp
56,0,0.01,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
72,0,0.01,18.37832579964638,2024-11-30,2024-11-30,quantile,wk inc flu hosp
US,0,0.01,2409.619259659401,2024-11-30,2024-11-30,quantile,wk inc flu hosp
01,0,0.025,23.464083586319788,2024-11-30,2024-11-30,quantile,wk inc flu hosp
02,0,0.025,0.30332194599767104,2024-11-30,2024-11-30,quantile,wk inc flu hosp
04,0,0.025,303.10777024814047,2024-11-30,2024-11-30,quantile,wk inc flu hosp
05,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
06,0,0.025,343.9602775937043,2024-11-30,2024-11-30,quantile,wk inc flu hosp
08,0,0.025,8.210017885104717,2024-11-30,2024-11-30,quantile,wk inc flu hosp
09,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
10,0,0.025,2.182922060444521,2024-11-30,2024-11-30,quantile,wk inc flu hosp
11,0,0.025,0.998289227628078,2024-11-30,2024-11-30,quantile,wk inc flu hosp
12,0,0.025,248.66594977333375,2024-11-30,2024-11-30,quantile,wk inc flu hosp
13,0,0.025,10.375573030147129,2024-11-30,2024-11-30,quantile,wk inc flu hosp
15,0,0.025,1.9576144149185268,2024-11-30,2024-11-30,quantile,wk inc flu hosp
16,0,0.025,11.342434107180063,2024-11-30,2024-11-30,quantile,wk inc flu hosp
17,0,0.025,53.423859838637824,2024-11-30,2024-11-30,quantile,wk inc flu hosp
18,0,0.025,12.279363423593505,2024-11-30,2024-11-30,quantile,wk inc flu hosp
19,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
20,0,0.025,3.123381558727465,2024-11-30,2024-11-30,quantile,wk inc flu hosp
21,0,0.025,0.44885365464606475,2024-11-30,2024-11-30,quantile,wk inc flu hosp
22,0,0.025,37.36711195493038,2024-11-30,2024-11-30,quantile,wk inc flu hosp
23,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
24,0,0.025,4.727196343748976,2024-11-30,2024-11-30,quantile,wk inc flu hosp
25,0,0.025,33.989843560209685,2024-11-30,2024-11-30,quantile,wk inc flu hosp
26,0,0.025,20.16727365667414,2024-11-30,2024-11-30,quantile,wk inc flu hosp
27,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
28,0,0.025,2.6923990603632024,2024-11-30,2024-11-30,quantile,wk inc flu hosp
29,0,0.025,17.010356520702537,2024-11-30,2024-11-30,quantile,wk inc flu hosp
30,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
31,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
32,0,0.025,18.18825732123456,2024-11-30,2024-11-30,quantile,wk inc flu hosp
33,0,0.025,2.921741281785727,2024-11-30,2024-11-30,quantile,wk inc flu hosp
34,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
35,0,0.025,5.597838434501834,2024-11-30,2024-11-30,quantile,wk inc flu hosp
36,0,0.025,62.74443541828556,2024-11-30,2024-11-30,quantile,wk inc flu hosp
37,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
38,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
39,0,0.025,322.46821022302913,2024-11-30,2024-11-30,quantile,wk inc flu hosp
40,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
41,0,0.025,17.910201760788762,2024-11-30,2024-11-30,quantile,wk inc flu hosp
42,0,0.025,69.78311088299384,2024-11-30,2024-11-30,quantile,wk inc flu hosp
44,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
45,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
46,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
47,0,0.025,9.188034035270523,2024-11-30,2024-11-30,quantile,wk inc flu hosp
48,0,0.025,165.86015277996844,2024-11-30,2024-11-30,quantile,wk inc flu hosp
49,0,0.025,5.816313822960864,2024-11-30,2024-11-30,quantile,wk inc flu hosp
50,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
51,0,0.025,3.4334719153822486,2024-11-30,2024-11-30,quantile,wk inc flu hosp
53,0,0.025,7.201831808863107,2024-11-30,2024-11-30,quantile,wk inc flu hosp
54,0,0.025,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
55,0,0.025,8.192263434702596,2024-11-30,2024-11-30,quantile,wk inc flu hosp
56,0,0.025,0.4885654817441354,2024-11-30,2024-11-30,quantile,wk inc flu hosp
72,0,0.025,21.43411519224776,2024-11-30,2024-11-30,quantile,wk inc flu hosp
US,0,0.025,2625.7583616621678,2024-11-30,2024-11-30,quantile,wk inc flu hosp
01,0,0.05,26.86134483320312,2024-11-30,2024-11-30,quantile,wk inc flu hosp
02,0,0.05,0.9545219931491226,2024-11-30,2024-11-30,quantile,wk inc flu hosp
04,0,0.05,326.4838288486842,2024-11-30,2024-11-30,quantile,wk inc flu hosp
05,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
06,0,0.05,367.831718850565,2024-11-30,2024-11-30,quantile,wk inc flu hosp
08,0,0.05,10.830364456208509,2024-11-30,2024-11-30,quantile,wk inc flu hosp
09,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
10,0,0.05,2.865583592994369,2024-11-30,2024-11-30,quantile,wk inc flu hosp
11,0,0.05,1.6204179912286325,2024-11-30,2024-11-30,quantile,wk inc flu hosp
12,0,0.05,269.4290479292152,2024-11-30,2024-11-30,quantile,wk inc flu hosp
13,0,0.05,14.70028532795931,2024-11-30,2024-11-30,quantile,wk inc flu hosp
15,0,0.05,2.930672628893481,2024-11-30,2024-11-30,quantile,wk inc flu hosp
16,0,0.05,13.876534072570367,2024-11-30,2024-11-30,quantile,wk inc flu hosp
17,0,0.05,60.745733925281854,2024-11-30,2024-11-30,quantile,wk inc flu hosp
18,0,0.05,15.856184386864784,2024-11-30,2024-11-30,quantile,wk inc flu hosp
19,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
20,0,0.05,4.953849176189721,2024-11-30,2024-11-30,quantile,wk inc flu hosp
21,0,0.05,2.2519394924781513,2024-11-30,2024-11-30,quantile,wk inc flu hosp
22,0,0.05,42.316884188761875,2024-11-30,2024-11-30,quantile,wk inc flu hosp
23,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
24,0,0.05,6.650402431151806,2024-11-30,2024-11-30,quantile,wk inc flu hosp
25,0,0.05,38.47243322520204,2024-11-30,2024-11-30,quantile,wk inc flu hosp
26,0,0.05,25.932897791194584,2024-11-30,2024-11-30,quantile,wk inc flu hosp
27,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
28,0,0.05,4.488493774350405,2024-11-30,2024-11-30,quantile,wk inc flu hosp
29,0,0.05,21.12781718204006,2024-11-30,2024-11-30,quantile,wk inc flu hosp
30,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
31,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
32,0,0.05,21.36397960543851,2024-11-30,2024-11-30,quantile,wk inc flu hosp
33,0,0.05,4.025394676965997,2024-11-30,2024-11-30,quantile,wk inc flu hosp
34,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
35,0,0.05,7.829221418523358,2024-11-30,2024-11-30,quantile,wk inc flu hosp
36,0,0.05,71.67131433360046,2024-11-30,2024-11-30,quantile,wk inc flu hosp
37,0,0.05,3.8528645443004965,2024-11-30,2024-11-30,quantile,wk inc flu hosp
38,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
39,0,0.05,356.49488815502025,2024-11-30,2024-11-30,quantile,wk inc flu hosp
40,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
41,0,0.05,21.531190209181855,2024-11-30,2024-11-30,quantile,wk inc flu hosp
42,0,0.05,76.21007828161319,2024-11-30,2024-11-30,quantile,wk inc flu hosp
44,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
45,0,0.05,0.009374158472768644,2024-11-30,2024-11-30,quantile,wk inc flu hosp
46,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
47,0,0.05,12.978396063527253,2024-11-30,2024-11-30,quantile,wk inc flu hosp
48,0,0.05,182.41484543221404,2024-11-30,2024-11-30,quantile,wk inc flu hosp
49,0,0.05,7.559453144771208,2024-11-30,2024-11-30,quantile,wk inc flu hosp
50,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
51,0,0.05,6.78878383905648,2024-11-30,2024-11-30,quantile,wk inc flu hosp
53,0,0.05,11.0039161492033,2024-11-30,2024-11-30,quantile,wk inc flu hosp
54,0,0.05,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
55,0,0.05,10.498907067882602,2024-11-30,2024-11-30,quantile,wk inc flu hosp
56,0,0.05,1.3661801276271592,2024-11-30,2024-11-30,quantile,wk inc flu hosp
72,0,0.05,24.37253851977213,2024-11-30,2024-11-30,quantile,wk inc flu hosp
US,0,0.05,2800.835846848007,2024-11-30,2024-11-30,quantile,wk inc flu hosp
01,0,0.1,31.530772938548854,2024-11-30,2024-11-30,quantile,wk inc flu hosp
02,0,0.1,1.8608757476447555,2024-11-30,2024-11-30,quantile,wk inc flu hosp
04,0,0.1,364.1975953491996,2024-11-30,2024-11-30,quantile,wk inc flu hosp
05,0,0.1,0.0,2024-11-30,2024-11-30,quantile,wk inc flu hosp
06,0,0.1,396.7404609225965,2024-11-30,2024-11-30,quantile,wk inc flu hosp
08,0,0.1,14.130018897220966,2024-11-30,2024-11-30,quantile,wk inc flu hosp
