"location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.025",28.8939360054317
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.1",38.1180884272748
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.25",46.864528080249
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.5",58.3740527182517
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.75",70.4491051481618
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.9",83.9687329642097
"01",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.975",102.710559281748
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.025",28.84666797139
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.1",38.0720263527177
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.25",50.8493584564511
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.5",68.7960019148153
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.75",86.8355873686238
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.9",105.68097100277
"01",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.975",140.391020400051
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.025",26.4611326900948
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.1",37.6692996514197
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.25",54.2669773828495
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.5",80.7487860657077
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.75",111.161435504048
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.9",130.078042012076
"01",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.975",177.825034549492
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.025",25.1411653048831
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.1",36.4879651096966
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.25",50.9354616708504
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.5",86.5683672419291
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.75",127.069293520403
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.9",150.045628966741
"01",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.975",218.865229917744
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.025",1.04691061076917
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.1",2.5485830255326
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.25",4.08369025883981
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.5",5.79198306140091
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.75",8.06993107040112
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.9",10.8608991477368
"02",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.975",15.9362987552751
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.025",0.940667348529936
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.1",1.63700686642853
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.25",3.23147792065829
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.5",6.1706439257925
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.75",9.55778084756515
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.9",13.3816824033165
"02",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.975",22.1552593249835
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.025",0.923281528509364
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.1",1.69970798480095
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.25",3.14618219159155
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.5",6.76955711067339
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.75",12.8684609041936
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.9",17.0960528874298
"02",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile","0.975",32.0925966358589
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.025",0.93034884365391
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.1",1.75247315242776
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.25",3.08043457881788
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.5",8.21282312743803
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.75",14.19336920705
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.9",22.6454723119484
"02",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile","0.975",39.0118745108816
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.025",299.081660087989
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.1",361.409432422251
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.25",424.359064523141
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.5",522.267747105102
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.75",622.106124184524
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.9",690.772362255899
"04",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile","0.975",800.4269231586
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.025",244.182071771582
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.1",340.201248225707
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.25",417.131729900435
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.5",550.343703596904
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.75",679.491501458577
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.9",821.537648367593
"04",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile","0.975",1063.6332382823
